txId,timestep,label,score_illicit,predicted_class,risk_level_probability,risk_percentile,priority_level,risk_rank,in_degree,out_degree,total_degree,error_type
139258496,28,licit,0.7866977,illicit,medium,93.09168715555359,medium,14078,1,0,1,FP_licit_alerted
218309437,47,licit,0.78616554,illicit,medium,93.0872703895097,medium,14087,1,1,2,FP_licit_alerted
71469019,42,licit,0.78492457,illicit,medium,93.07352933959532,medium,14115,0,1,1,FP_licit_alerted
70352807,35,licit,0.7841532,illicit,medium,93.06076979324628,medium,14141,0,2,2,FP_licit_alerted
12807191,41,licit,0.78302294,illicit,medium,93.042611977288,medium,14178,1,0,1,FP_licit_alerted
69392542,35,licit,0.7779708,illicit,medium,92.96556394741103,medium,14335,1,1,2,FP_licit_alerted
195428319,46,licit,0.7778171,illicit,medium,92.96212868493244,medium,14342,4,1,5,FP_licit_alerted
54727159,35,licit,0.77440155,illicit,medium,92.9159980173628,medium,14436,1,1,2,FP_licit_alerted
19893937,42,licit,0.7725843,illicit,medium,92.88458990327283,medium,14500,1,0,1,FP_licit_alerted
3295818,48,licit,0.7717585,illicit,medium,92.86839509444518,medium,14533,0,1,1,FP_licit_alerted
106851997,44,licit,0.7690402,illicit,medium,92.8360054767899,medium,14599,2,0,2,FP_licit_alerted
149567368,39,licit,0.7685641,illicit,medium,92.83109795896334,medium,14609,2,1,3,FP_licit_alerted
164687757,45,licit,0.765084,illicit,medium,92.78693029852431,medium,14699,2,1,3,FP_licit_alerted
157579674,49,licit,0.76468605,illicit,medium,92.78202278069774,medium,14709,0,1,1,FP_licit_alerted
72039808,42,licit,0.76315904,illicit,medium,92.75944819869558,medium,14755,1,0,1,FP_licit_alerted
70778108,42,licit,0.7601051,illicit,medium,92.71871580073514,medium,14838,0,2,2,FP_licit_alerted
48838141,45,licit,0.7584269,illicit,medium,92.69663197051563,medium,14883,0,1,1,FP_licit_alerted
195428316,46,licit,0.75807333,illicit,medium,92.68877994199313,medium,14899,1,1,2,FP_licit_alerted
355196427,32,licit,0.75806624,illicit,medium,92.68828919021048,medium,14900,1,1,2,FP_licit_alerted
116107565,38,licit,0.75774866,illicit,medium,92.68436317594923,medium,14908,2,1,3,FP_licit_alerted
106325400,44,licit,0.75362974,illicit,medium,92.62743596916116,medium,15024,2,2,4,FP_licit_alerted
105787067,44,licit,0.7525397,illicit,medium,92.60976890498554,medium,15060,0,1,1,FP_licit_alerted
73433657,42,licit,0.75040174,illicit,medium,92.57247176950371,medium,15136,2,1,3,FP_licit_alerted
105786767,44,licit,0.7493338,illicit,medium,92.55431395354545,medium,15173,0,2,2,FP_licit_alerted
218010378,47,licit,0.74784505,illicit,medium,92.53075786797795,medium,15221,0,1,1,FP_licit_alerted
70788587,42,licit,0.74754065,illicit,medium,92.52732260549936,medium,15228,0,1,1,FP_licit_alerted
71769835,42,licit,0.7460965,illicit,medium,92.50523877527985,medium,15273,0,1,1,FP_licit_alerted
105596779,44,licit,0.74574536,illicit,medium,92.49885900210532,medium,15286,1,2,3,FP_licit_alerted
78145596,14,licit,0.7453305,illicit,medium,92.49395148427877,medium,15296,1,0,1,FP_licit_alerted
200033067,36,licit,0.74341303,illicit,medium,92.45714510057958,medium,15371,0,1,1,FP_licit_alerted
157581708,49,licit,0.7411399,illicit,medium,92.42868149718554,medium,15429,0,1,1,FP_licit_alerted
164714573,45,licit,0.7394131,illicit,medium,92.40512541161806,medium,15477,2,0,2,FP_licit_alerted
158269145,49,licit,0.73790175,illicit,medium,92.38549534031182,medium,15517,0,2,2,FP_licit_alerted
99053496,40,licit,0.73759764,illicit,medium,92.38206007783323,medium,15524,1,1,2,FP_licit_alerted
12689991,41,licit,0.73682964,illicit,medium,92.37077278683215,medium,15547,0,1,1,FP_licit_alerted
190432652,8,licit,0.7351387,illicit,medium,92.34868895661263,medium,15592,1,1,2,FP_licit_alerted
151223380,39,licit,0.7328879,illicit,medium,92.31679009074001,medium,15657,1,2,3,FP_licit_alerted
106311172,44,licit,0.7326853,illicit,medium,92.31188257291345,medium,15667,4,1,5,FP_licit_alerted
272117538,24,licit,0.7326357,illicit,medium,92.31090106934813,medium,15669,0,1,1,FP_licit_alerted
157581561,49,licit,0.73191524,illicit,medium,92.30452129617362,medium,15682,0,1,1,FP_licit_alerted
190013180,8,licit,0.73001355,illicit,medium,92.27998370704081,medium,15732,0,1,1,FP_licit_alerted
97186543,40,licit,0.7294533,illicit,medium,92.27065942317036,medium,15751,0,1,1,FP_licit_alerted
209825743,20,licit,0.72797525,illicit,medium,92.2480848411682,medium,15797,1,0,1,FP_licit_alerted
155653798,45,licit,0.7262542,illicit,medium,92.22207499668743,medium,15850,0,1,1,FP_licit_alerted
43333959,10,licit,0.7254592,illicit,medium,92.20980620212103,medium,15875,1,0,1,FP_licit_alerted
28891484,37,licit,0.72513354,illicit,medium,92.20391718072915,medium,15887,0,1,1,FP_licit_alerted
38570057,41,licit,0.7211198,illicit,medium,92.14159170433187,medium,16014,0,1,1,FP_licit_alerted
97933782,40,licit,0.71884084,illicit,medium,92.11214659737252,medium,16074,1,1,2,FP_licit_alerted
106391278,44,licit,0.7180182,illicit,medium,92.10184080993675,medium,16095,1,0,1,FP_licit_alerted
94251591,43,licit,0.71709913,illicit,medium,92.08466449754378,medium,16130,0,1,1,FP_licit_alerted
98072243,40,licit,0.7165753,illicit,medium,92.07730322080396,medium,16145,1,1,2,FP_licit_alerted
72294986,42,licit,0.7144603,illicit,medium,92.04295059601803,medium,16215,0,1,1,FP_licit_alerted
33826042,43,licit,0.7137811,illicit,medium,92.03166330501695,medium,16238,0,1,1,FP_licit_alerted
70791449,42,licit,0.71241564,illicit,medium,92.00614421231886,medium,16290,0,1,1,FP_licit_alerted
72687354,42,licit,0.7119263,illicit,medium,91.99878293557902,medium,16305,1,1,2,FP_licit_alerted
104182470,26,licit,0.711285,illicit,medium,91.99191241062184,medium,16319,1,0,1,FP_licit_alerted
3951773,42,licit,0.7109374,illicit,medium,91.98356963031668,medium,16336,1,1,2,FP_licit_alerted
339089039,13,licit,0.71078014,illicit,medium,91.9811158714034,medium,16341,1,1,2,FP_licit_alerted
72342571,42,licit,0.7102701,illicit,medium,91.97081008396762,medium,16362,1,1,2,FP_licit_alerted
195429584,46,licit,0.7101447,illicit,medium,91.96737482148903,medium,16369,7,1,8,FP_licit_alerted
96583654,40,licit,0.7094018,illicit,medium,91.95265226800936,medium,16399,0,1,1,FP_licit_alerted
115708965,38,licit,0.7088028,illicit,medium,91.94529099126953,medium,16414,0,2,2,FP_licit_alerted
73156131,42,licit,0.7081732,illicit,medium,91.93498520383375,medium,16435,1,1,2,FP_licit_alerted
200498737,36,licit,0.70600724,illicit,medium,91.89817882013458,medium,16510,0,2,2,FP_licit_alerted
72016026,42,licit,0.7058285,illicit,medium,91.89278055052536,medium,16521,2,1,3,FP_licit_alerted
195428317,46,licit,0.7051309,illicit,medium,91.88051175595895,medium,16546,1,1,2,FP_licit_alerted
94599773,43,licit,0.70260763,illicit,medium,91.85008514543429,medium,16608,1,0,1,FP_licit_alerted
71453835,42,licit,0.7024794,illicit,medium,91.84763138652102,medium,16613,0,1,1,FP_licit_alerted
164183369,29,licit,0.6986179,illicit,medium,91.79364869042887,medium,16723,2,0,2,FP_licit_alerted
83047903,36,licit,0.69757515,illicit,medium,91.78187064764512,medium,16747,0,1,1,FP_licit_alerted
106815694,44,licit,0.69687665,illicit,medium,91.77303711555732,medium,16765,1,0,1,FP_licit_alerted
148545913,39,licit,0.6946618,illicit,medium,91.73917524255407,medium,16834,1,2,3,FP_licit_alerted
88843080,36,licit,0.6939866,illicit,medium,91.72543419263971,medium,16862,3,0,3,FP_licit_alerted
218068208,47,licit,0.6933223,illicit,medium,91.7131653980733,medium,16887,0,1,1,FP_licit_alerted
105786979,44,licit,0.6932805,illicit,medium,91.71169314272534,medium,16890,0,1,1,FP_licit_alerted
72015079,42,licit,0.69324535,illicit,medium,91.71071163916002,medium,16892,1,1,2,FP_licit_alerted
190006242,8,licit,0.6931605,illicit,medium,91.7087486320294,medium,16896,0,2,2,FP_licit_alerted
71463388,42,licit,0.6896424,illicit,medium,91.65476593593726,medium,17006,1,2,3,FP_licit_alerted
71762296,42,licit,0.6882829,illicit,medium,91.63660811997899,medium,17043,1,2,3,FP_licit_alerted
63018297,35,licit,0.6870981,illicit,medium,91.61992255936869,medium,17077,2,1,3,FP_licit_alerted
105787723,44,licit,0.6865979,illicit,medium,91.6120705308462,medium,17093,0,1,1,FP_licit_alerted
219556205,47,licit,0.68569523,illicit,medium,91.60029248806246,medium,17117,1,0,1,FP_licit_alerted
195429817,46,licit,0.6833409,illicit,medium,91.56299535258063,medium,17193,5,0,5,FP_licit_alerted
106390184,44,licit,0.68129003,illicit,medium,91.5364947563172,medium,17247,1,1,2,FP_licit_alerted
21852040,44,licit,0.6803799,illicit,medium,91.51931844392425,medium,17282,1,1,2,FP_licit_alerted
54821827,35,licit,0.67980844,illicit,medium,91.50950340827113,medium,17302,0,1,1,FP_licit_alerted
67548736,35,licit,0.67891437,illicit,medium,91.49134559231287,medium,17339,2,0,2,FP_licit_alerted
106451980,44,licit,0.6779695,illicit,medium,91.48054905309444,medium,17361,1,0,1,FP_licit_alerted
105785088,44,licit,0.67570955,illicit,medium,91.43932590335135,medium,17445,0,1,1,FP_licit_alerted
106293481,44,licit,0.6746061,illicit,medium,91.41822357669714,medium,17488,1,2,3,FP_licit_alerted
72048340,42,licit,0.6744014,illicit,medium,91.41233455530528,medium,17500,0,1,1,FP_licit_alerted
164756219,45,licit,0.67229044,illicit,medium,91.37847268230202,medium,17569,0,2,2,FP_licit_alerted
12807023,41,licit,0.67201054,illicit,medium,91.37258366091015,medium,17581,1,1,2,FP_licit_alerted
116110341,38,licit,0.66856784,illicit,medium,91.32203622729659,medium,17684,2,1,3,FP_licit_alerted
87695590,4,licit,0.6674209,illicit,medium,91.30682292203427,medium,17715,0,1,1,FP_licit_alerted
66403063,36,licit,0.6672521,illicit,medium,91.30436916312098,medium,17720,0,1,1,FP_licit_alerted
94931566,39,licit,0.666339,illicit,medium,91.28572059538006,medium,17758,0,1,1,FP_licit_alerted
157579625,49,licit,0.6659231,illicit,medium,91.28228533290147,medium,17765,13,0,13,FP_licit_alerted
200701898,36,licit,0.66502845,illicit,medium,91.26363676516056,medium,17803,0,1,1,FP_licit_alerted
72343867,42,licit,0.6621253,illicit,medium,91.21799684937355,medium,17896,1,1,2,FP_licit_alerted
195428318,46,licit,0.66170937,illicit,medium,91.213089331547,medium,17906,0,1,1,FP_licit_alerted
106310004,44,licit,0.6608798,illicit,medium,91.20376504767653,medium,17925,1,1,2,FP_licit_alerted
217701123,36,licit,0.6584485,illicit,medium,91.15567137297627,medium,18023,0,1,1,FP_licit_alerted
201456554,36,licit,0.65725666,illicit,medium,91.13898581236596,medium,18057,2,0,2,FP_licit_alerted
149644613,36,licit,0.6568673,illicit,medium,91.1350597981047,medium,18065,0,1,1,FP_licit_alerted
105787719,44,licit,0.6554797,illicit,medium,91.10561469114536,medium,18125,0,2,2,FP_licit_alerted
94596465,43,licit,0.65546507,illicit,medium,91.10512393936271,medium,18126,2,1,3,FP_licit_alerted
236118565,11,licit,0.6553865,illicit,medium,91.10365168401474,medium,18129,1,0,1,FP_licit_alerted
94302779,43,licit,0.6545628,illicit,medium,91.09383664836163,medium,18149,2,1,3,FP_licit_alerted
200126121,36,licit,0.6515892,illicit,medium,91.05163199505321,medium,18235,0,1,1,FP_licit_alerted
171180032,36,licit,0.6511258,illicit,medium,91.04672447722666,medium,18245,1,1,2,FP_licit_alerted
94133318,7,licit,0.649169,illicit,medium,91.01727937026732,medium,18305,1,1,2,FP_licit_alerted
50257327,45,licit,0.6489261,illicit,medium,91.01482561135403,medium,18310,0,1,1,FP_licit_alerted
277589565,25,licit,0.64749074,illicit,medium,90.99126952578655,medium,18358,1,0,1,FP_licit_alerted
9629830,48,licit,0.6473127,illicit,medium,90.98979727043859,medium,18361,0,1,1,FP_licit_alerted
155722084,45,licit,0.64445937,illicit,medium,90.94366660286893,medium,18455,0,1,1,FP_licit_alerted
376210673,31,licit,0.6427284,illicit,medium,90.91716600660553,medium,18509,0,1,1,FP_licit_alerted
78079432,39,licit,0.6418278,illicit,medium,90.90244345312584,medium,18539,0,1,1,FP_licit_alerted
372871269,22,licit,0.641153,illicit,medium,90.89262841747274,medium,18559,2,0,2,FP_licit_alerted
390332188,17,licit,0.63809717,illicit,medium,90.84747925346839,medium,18651,0,2,2,FP_licit_alerted
46672640,36,licit,0.6375105,illicit,medium,90.83913647316324,medium,18668,0,1,1,FP_licit_alerted
105594270,44,licit,0.6372942,illicit,medium,90.83373820355402,medium,18679,11,0,11,FP_licit_alerted
201433815,36,licit,0.63655317,illicit,medium,90.82097865720498,medium,18705,3,1,4,FP_licit_alerted
339089111,13,licit,0.636544,illicit,medium,90.82048790542233,medium,18706,0,1,1,FP_licit_alerted
382992997,31,licit,0.63562137,illicit,medium,90.80331159302936,medium,18741,1,1,2,FP_licit_alerted
116193739,38,licit,0.6353422,illicit,medium,90.79889482698546,medium,18750,1,2,3,FP_licit_alerted
339070635,13,licit,0.6349347,illicit,medium,90.79300580559358,medium,18762,1,0,1,FP_licit_alerted
105429245,44,licit,0.63465124,illicit,medium,90.79153355024562,medium,18765,0,2,2,FP_licit_alerted
99154456,21,licit,0.6345348,illicit,medium,90.78711678420171,medium,18774,1,1,2,FP_licit_alerted
135102855,45,licit,0.6323293,illicit,medium,90.76012543615565,medium,18829,0,1,1,FP_licit_alerted
218307902,47,licit,0.62889755,illicit,medium,90.70025371867163,medium,18951,0,1,1,FP_licit_alerted
199979754,36,licit,0.6278554,illicit,medium,90.68749417232257,medium,18977,0,1,1,FP_licit_alerted
193968898,49,licit,0.62663615,illicit,medium,90.67080861171229,medium,19011,0,2,2,FP_licit_alerted
105784611,44,licit,0.6261352,illicit,medium,90.66197507962448,medium,19029,0,1,1,FP_licit_alerted
25451187,38,licit,0.62529755,illicit,medium,90.64872478149277,medium,19056,0,1,1,FP_licit_alerted
94302784,43,licit,0.62477607,illicit,medium,90.63841899405699,medium,19077,2,2,4,FP_licit_alerted
182002456,45,licit,0.6229459,illicit,medium,90.60701087996702,medium,19141,0,1,1,FP_licit_alerted
310064556,2,licit,0.6229127,illicit,medium,90.60553862461906,medium,19144,1,1,2,FP_licit_alerted
50157029,42,licit,0.6228898,illicit,medium,90.6050478728364,medium,19145,0,1,1,FP_licit_alerted
189987003,8,licit,0.62150824,illicit,medium,90.58394554618219,medium,19188,0,1,1,FP_licit_alerted
210056488,36,licit,0.6213552,illicit,medium,90.58100103548627,medium,19194,0,1,1,FP_licit_alerted
148546738,39,licit,0.62048113,illicit,medium,90.56676923378924,medium,19223,0,1,1,FP_licit_alerted
106312809,44,licit,0.6195539,illicit,medium,90.55204668030956,medium,19253,2,1,3,FP_licit_alerted
73331607,42,licit,0.6181303,illicit,medium,90.52652758761145,medium,19305,1,2,3,FP_licit_alerted
